,claimHeadline,articleHeadline,articleHeadlineStance,articleId,claimId,url,source,claimTruth,claimCount,articleCount,sourceCount
3,Two Australian men kept a McDonald's Quarter Pounder with Cheese for 20 years,Would you take a bite out of the world's oldest burger? Men keep Quarter Pounder they bought 20 YEARS ago for a friend who never showed up to meet them,for,fc92d640-b6a8-11e4-8507-b58af63d1078,d54aaf40-b6a8-11e4-8507-b58af63d1078,http://www.dailymail.co.uk/news/article-2955698/They-lovin-Owners-world-s-oldest-burger-Quarter-Pounder-ve-20-YEARS-refuse-bite-it.html,www.dailymail.co.uk,unknown,2,4,4
7,Two Australian men kept a McDonald's Quarter Pounder with Cheese for 20 years,Is this the world's oldest burger? Man claims to have kept McDonald's Quarter Pounder for 20 YEARS,observing,e2738520-b6a8-11e4-8507-b58af63d1078,d54aaf40-b6a8-11e4-8507-b58af63d1078,http://www.mirror.co.uk/news/weird-news/worlds-oldest-burger-man-claims-5173737,www.mirror.co.uk,unknown,2,8,7
10,Apple will sell 24 million Apple Watches in the first nine months,"10 of Consumers Very Likely to Buy a Smartwatch in 2015, Suggesting 24M Apple Watches",observing,653639a0-c28c-11e4-8747-5b024dd6dd6c,557db830-c28c-11e4-8747-5b024dd6dd6c,http://www.macrumors.com/2014/12/01/apple-watch-ubs-survey/,www.macrumors.com,unknown,3,11,9
12,400 men were castrated on the orders of an Indian spiritual guru,CBI registers criminal conspiracy case against Dera chief after claims 400 male followers were forcibly castrated,observing,a95b9e00-c083-11e4-8747-5b024dd6dd6c,e3ab2ab0-c080-11e4-8747-5b024dd6dd6c,http://www.dailymail.co.uk/indiahome/indianews/article-2901136/CBI-registers-case-against-Dera-chief-following-devotees-claims-forcibly-castrated.html,www.dailymail.co.uk,unknown,4,13,4
13,400 men were castrated on the orders of an Indian spiritual guru,Guru who ordered 400 followers to be castrated so they could be closer to God is investigated for grievous bodily harm in India,for,9cd74580-c083-11e4-8747-5b024dd6dd6c,e3ab2ab0-c080-11e4-8747-5b024dd6dd6c,http://www.dailymail.co.uk/news/article-2902208/Guru-ordered-400-followers-castrated-closer-God-investigated-grievous-bodily-harm-India.html,www.dailymail.co.uk,unknown,4,14,4
15,400 men were castrated on the orders of an Indian spiritual guru,Dera Sacha Sauda Chief Forced Castration of 400 Devotees? CBI Files Case Against MSG: The Messenger of God Actor,observing,5bce72b0-c084-11e4-8747-5b024dd6dd6c,e3ab2ab0-c080-11e4-8747-5b024dd6dd6c,http://www.ibtimes.co.in/dera-sacha-sauda-chief-forced-castration-400-devotees-cbi-files-case-against-msg-messenger-619672,www.ibtimes.co.in,unknown,4,16,12
16,400 men were castrated on the orders of an Indian spiritual guru,India: 400 men cut off their testicles to get closer to God following advice from guru,for,1e37ffc0-c084-11e4-8747-5b024dd6dd6c,e3ab2ab0-c080-11e4-8747-5b024dd6dd6c,http://www.ibtimes.co.uk/india-400-men-cut-off-their-testicles-get-closer-god-following-advice-guru-1489971,www.ibtimes.co.uk,unknown,4,17,13
17,400 men were castrated on the orders of an Indian spiritual guru,"Nuts Indian guru coaxes 400 followers to cut off their testicles, grow closer to God",for,b20d91c0-c083-11e4-8747-5b024dd6dd6c,e3ab2ab0-c080-11e4-8747-5b024dd6dd6c,http://www.nydailynews.com/news/world/indian-guru-coaxes-400-followers-cut-testicles-article-1.2132611,www.nydailynews.com,unknown,4,18,14
22,A wife and child of ISIS leader Abu Bakr al-Baghdadi were detained in Lebanon,Lebanon detains wife and son of Al-Baghdadi,for,fe3b8ca0-7af1-11e4-b794-93ed794d7b91,899afb60-7af1-11e4-b794-93ed794d7b91,http://www.aljazeera.com/news/middleeast/2014/12/lebanon-detains-wife-son-al-baghdadi-20141228517403738.html,www.aljazeera.com,unknown,6,23,19
24,A wife and child of ISIS leader Abu Bakr al-Baghdadi were detained in Lebanon,Lebanon holding IS leader's daughter and ex-wife,observing,1e256020-7c3e-11e4-b794-93ed794d7b91,899afb60-7af1-11e4-b794-93ed794d7b91,http://www.bbc.com/news/world-middle-east-30330461,www.bbc.com,unknown,6,25,21
25,A wife and child of ISIS leader Abu Bakr al-Baghdadi were detained in Lebanon,Confusion Surrounds Capture Of ISIS Leader's Wife,observing,30fe3460-7c3e-11e4-b794-93ed794d7b91,899afb60-7af1-11e4-b794-93ed794d7b91,http://www.buzzfeed.com/franciswhittaker/isis-leaders-wife-and-child-held-in-lebanon,www.buzzfeed.com,unknown,6,26,22
