,source,title,is_clickbait
0,yahoo.com,CDC confirms 10 new cases of rare polio-like neurological condition,0
1,yahoo.com,Boston gangster James 'Whitey' Bulger found dead in prison,0
2,yahoo.com,‘Fuller House’ Gets Season 4 Premiere Date On Netflix,0
3,yahoo.com,Jeff Bezos's Very Bad October Isn't Over Yet as His Net Worth Continues to Plunge,0
4,yahoo.com,"Whitey Bulger, Boston gangster, found dead in prison at 89",0
5,yahoo.com,MarineMax: Fiscal 4Q Earnings Snapshot,0
6,yahoo.com,Is the Market Wrong About Lam Research?,1
7,yahoo.com,Two key Eagles blocks from London that shouldn’t go unnoticed,0
8,yahoo.com,Off the Bench: Browns let Hue Jackson go,0
9,yahoo.com,Falcons add veteran guard Zane Beadles,0
10,yahoo.com,ACVITS© Enterprise Content Management System Launches On Amazon AWS Marketplace Catalog Worldwide,0
11,yahoo.com,"Like him or not, Jordan Matthews came up huge in London",1
12,yahoo.com,Eagles acquire WR Golden Tate from Lions,0
13,yahoo.com,College Basketball’s Top Frontcourts,0
14,yahoo.com,Henri Jokiharju is everything the Blackhawks had hoped he'd be,1
15,yahoo.com,Take-Two's 'Red Dead Redemption 2' Has Blockbuster Release Weekend,0
16,yahoo.com,"De'Aaron Fox questionable, Iman Shumpert out for Kings vs. Magic",0
17,yahoo.com,What'll Impact Auto ETF Ahead: China Stimulus or Trade Worry?,0
18,yahoo.com,AP FACT CHECK: Trump off track on birthright citizenship,0
19,yahoo.com,Lions trade Golden Tate to Eagles,0
20,yahoo.com,"NFL to stage four 2019 London games, Jaguars among clubs",0
21,yahoo.com,Earnings Preview: Automaker GM To Report Q3 Results Wednesday Morning,0
22,yahoo.com,Wells Fargo's Wren Expects 'Good Gain' in S&P 500 Over Next 12 Months,0
23,yahoo.com,Companies offer perks to seasonal hires in tight labor market,0
24,yahoo.com,Ben & Jerry's unveils Pecan Resist flavor ahead of midterms,0
25,yahoo.com,John Elway on Demaryius Thomas trade: We want to play young WRs,0
26,yahoo.com,Let’s Go Crazy: Ava DuVernay “Honored” To Be Making Prince Docu At Netflix,1
27,yahoo.com,UN rights chief wants 'international experts' to help probe Khashoggi hit,0
28,yahoo.com,Millions mark Shiite religious festival in Iraq's Karbala,0
29,yahoo.com,Mom realizes her son’s ADHD symptoms were actually caused by sleep deprivation,1
30,yahoo.com,What Monday's pitching decisions mean for the White Sox in 2019,0
31,yahoo.com,Celtics' Daniel Theis out for at least two weeks with foot injury,0
32,yahoo.com,"CLASS ACTION UPDATE for MCHP, MGTI and CPB: Levi & Korsinsky, LLP Reminds Investors of Class Actions on Behalf of Shareholders",0
33,yahoo.com,A GE Stock Sale Should Be on the Table,0
34,yahoo.com,Microsoft Continues Reaching for the Cloud,0
35,yahoo.com,Trump shifts focus from trade to immigration,0
36,yahoo.com,Bruins going with Halak again is a sign of the times,1
37,yahoo.com,Shaun White Apologizes to Special Olympics for Wearing 'Insensitive' Halloween Costume,0
38,yahoo.com,"Look out, Spurs! NFL to play a fourth London game in 2019",0
39,yahoo.com,Bears film breakdown: How a perfectly called and executed screen led to a 70-yard touchdown for Tarik Cohen,1
40,yahoo.com,Apple Unveils New Macs and iPads: What You Need to Know,1
41,yahoo.com,"New LEER Aluminum Commercial Cap Offers Improved Access with Side Panel Doors, Modular Toolbox Options",0
42,yahoo.com,Morgan planning all-new 1960s-inspired sports car,0
43,yahoo.com,Bulls Hoping IBM Buyback Opens the Spigot on Corporate Demand,0
44,yahoo.com,Sprint Expands SD-WAN Worldwide Reach for Unparalleled Enterprise Network Management,0
45,yahoo.com,Golar LNG Partners LP Q3 2018 results presentation date change,0
46,yahoo.com,Louisiana Tops List of Least Affordable States for Auto Insurance Due to Frequent Claims and Litigation,0
47,yahoo.com,Mastercard shares slide as quality of revenue growth disappoints,0
48,yahoo.com,"Services Revenue, iPhone Sales & Other Key Q4 Apple (AAPL) Estimates",0
49,yahoo.com,Dana White says Mayweather-Khabib fight will only happen in UFC,0
50,yahoo.com,"Whatever the Stock Market's Problem, It's Worse in Tech Shares",0
51,yahoo.com,Erdogan vows to crush U.S.-backed Kurdish fighters east of Euphrates in Syria,0
52,yahoo.com,US Stock Market Rises Tuesday,0
53,yahoo.com,NFL trade rumors: Texans finalizing deal for Broncos WR Demaryius Thomas,0
54,yahoo.com,Christina El Moussa gushes about Ant Anstead on 1-year anniversary,0
55,yahoo.com,Truss is Named a Winner of 17th Annual Chicago Innovation Awards,0
56,yahoo.com,Toyota Takes You Places At SEMA 2018,1
57,yahoo.com,CAIS Teams with Mercer to Offer Independent Advisors Mercer Investment Services,0
58,yahoo.com,"V&E, Skadden, Gibson Dunn Advise on $1.7B Eagle Ford Shale Acquisition",0
59,yahoo.com,IBM's Red Hat Acquisition & The Future of Cloud Computing,0
60,yahoo.com,Why Cognex Slumped After Reporting Third-Quarter Earnings,0
61,yahoo.com,Denmark will push for fresh EU-wide sanctions against Iran: Foreign Minister,0
62,yahoo.com,Angels hire the Astros’ Doug White to be their pitching coach,0
63,yahoo.com,Pressure building to expel Steve King from Congress,0
64,yahoo.com,Everything announced at the 2018 Apple iPad event,0
65,yahoo.com,"Global Control Valves Market to 2025 Featuring Prominent Players - Emerson Electric, Flowserve, IMI, Schlumberger and AVK",0
66,yahoo.com,Bay Area Commercial General Contractor Launches New Project,0
67,yahoo.com,"GE Misses on Q3 Earnings, Announces Growth Initiatives",0
68,yahoo.com,"Kevin Durant loves basketball more than ever, 'it's making my life better'",1
69,yahoo.com,Ben Roethlisberger has a broken finger on left hand,0
70,yahoo.com,"Meghan Markle Actually Found a Pair of ""Reign"" Boots, So Yeah, We're Impressed",1
71,yahoo.com,Big 12 adopts verification of Baylor Title IX reforms,0
72,yahoo.com,Trial begins for sports radio voice Craig Carton,0
73,yahoo.com,Merkel Kept Her Decision to Quit as Party Leader a Secret for Months,0
74,yahoo.com,‘I’m no Superman’ – Valverde insists Clasico win changes nothing,0
75,yahoo.com,Wild Times: Market Seems To Seek Solid Ground After Monday's Manic,0
76,yahoo.com,Aurora Cannabis Stock Isn’t for the Faint of Heart,0
77,yahoo.com,Charles Laverty Announces California Coronary Stent Manufacturing Location,0
78,yahoo.com,Jones forced to face unexpected England rebuilding job,0
79,yahoo.com,CFTC Commissioner Urges Regulators to Approach Fintech With an 'Open Mind',0
80,yahoo.com,Dream or nightmare? Subaru-powered Ferrari 308 GT4,0
81,yahoo.com,"The Best Last-Minute Makeup Products for Halloween, Regardless of Costume",1
82,yahoo.com,Boston gangster James 'Whitey' Bulger killed in prison: Boston Globe,0
83,yahoo.com,Fact check: Did Elizabeth Warren lie about her heritage?,1
84,yahoo.com,Hate speech on social media may have played a role in recent incidents,0
85,yahoo.com,How are celebrities affecting voter turnout?,1
86,yahoo.com,Kendall and Kylie Jenner’s New Walmart Handbag Collection Is Here,1
87,yahoo.com,Canada Has Legalized Marijuana. Here's What That Means For American Travelers,1
