,source,title,is_clickbait
0,thefourthperiod.com,"HEXTALL, FLYERS READY TO TAKE NEXT STEP",0
1,thefourthperiod.com,OILERS TAKING CALLS ON TALBOT,0
2,thefourthperiod.com,LEAFS COULD PURSUE FAULK AGAIN,0
3,thefourthperiod.com,"SEGUIN, STARS CONTRACT TALKS PICKING UP STEAM",0
4,thefourthperiod.com,SABRES IN THE RUNNING FOR TAVARES?,0
5,thefourthperiod.com,PANARIN TRADE TALKS PICK UP,0
6,thefourthperiod.com,"STARS, SEGUIN ENGAGED IN CONTRACT TALKS",0
7,thefourthperiod.com,MARKOV INTERESTED IN RETURN TO MONTREAL,0
8,thefourthperiod.com,TOP 20 UFAs LIST,0
9,thefourthperiod.com,COULD THE FLYERS LOOK TO TRADE SIMMONDS?,0
10,thefourthperiod.com,COULD SUBBAN GET MOVED AGAIN?,0
11,thefourthperiod.com,KARLSSON TRADE TALKS HEATING UP,0
12,thefourthperiod.com,ISLANDERS HAVE STRONG INTEREST IN PANARIN,0
13,thefourthperiod.com,FLYERS COULD TARGET TOP FREE AGENTS,0
14,thefourthperiod.com,KLEFBOM SPECULATION CONTINUES TO SWIRL,0
15,thefourthperiod.com,TIME RUNNING OUT FOR COYOTES IN ARIZONA?,0
16,thefourthperiod.com,"KARLSSON TRADE TALKS HEAT UP, AGAIN",0
17,thefourthperiod.com,KINGS AMONG TEAMS EYEING DE HAAN,0
18,thefourthperiod.com,LEAFS STILL INTERESTED IN TANEV?,0
19,thefourthperiod.com,SWEENEY TALKS NHL DRAFT AND FREE AGENCY,0
20,thefourthperiod.com,PACIORETTY’S SEASON REMAINS IN LIMBO,0
21,thefourthperiod.com,"CANUCKS TO SIGN BEAGLE, LET VANEK WALK",0
22,thefourthperiod.com,"PANTHERS INQUIRE ON KARLSSON, McDONAGH",0
23,thefourthperiod.com,HURRICANES LOOKING TO MAKE CHANGES,0
24,thefourthperiod.com,CALLS PICKING UP ON PACIORETTY,0
25,thefourthperiod.com,CANADIENS WOULD BE OPEN TO MOVING NO.3 PICK,0
26,thefourthperiod.com,HABS TRADE PACIORETTY TO GOLDEN KNIGHTS; PACIORETTY INKS 4-YEAR EXTENSION WITH VEGAS,0
27,thefourthperiod.com,THE EYE OF THE HURRICANE,1
28,thefourthperiod.com,"KINGS, SHARKS FRONTRUNNERS FOR KOVALCHUK?",0
29,thefourthperiod.com,AVS MAY NOT TRADE BARRIE MID-SEASON,0
30,thefourthperiod.com,CHARA WANTS EXTENSION WITH BRUINS,0
31,thefourthperiod.com,KARLSSON STILL UNFAZED BY TRADE TALK,0
32,thefourthperiod.com,RED WINGS LISTENING ON NO.6 PICK,0
33,thefourthperiod.com,ISLANDERS LOOKING FOR NEW GM?,0
34,thefourthperiod.com,OILERS WILLING TO LISTEN ON KLEFBOM,0
35,thefourthperiod.com,FLYERS TRIED TO ACQUIRE HAMILTON,0
36,thefourthperiod.com,SOSHNIKOV MAY EXPLORE KHL OPTIONS,0
37,thefourthperiod.com,KINGS REFUSED TO TRADE VILARDI,0
38,thefourthperiod.com,HOW BOSTON’S GRZELCYK SPENT HIS SUMMER,1
39,thefourthperiod.com,"NASH, BRUINS READY FOR RUN AT THE CUP",0
40,thefourthperiod.com,TIME FOR CANADIENS TO PRESS RESET ON SEASON,0
41,thefourthperiod.com,OILERS LOOKING TO MOVE LUCIC,0
42,thefourthperiod.com,KINGS EYEING SCORING WINGER THIS SUMMER,1
43,thefourthperiod.com,OFF-SEASON COULD DEFINE NILL’S TENURE AS STARS GM,0
44,thefourthperiod.com,"TIME IS NOW FOR TRELIVING, FLAMES",1
45,thefourthperiod.com,"FOR SABRES, WINNING DRAFT LOTTERY IS POETIC JUSTICE",0
46,thefourthperiod.com,"SHARKS, KANE AGREE TO LONG-TERM EXTENSION",0
47,thefourthperiod.com,ARE THE CANADIENS INTERESTED IN LETANG?,1
48,thefourthperiod.com,"DOUGHTY, KINGS FINALIZE 8-YEAR EXTENSION",0
49,thefourthperiod.com,BLUES ACQUIRE O'REILLY FROM SABRES,0
50,thefourthperiod.com,"COYOTES, EKMAN-LARSSON DISCUSSING 8-YEAR DEAL",0
51,thefourthperiod.com,"MAROON, LETESTU COULD HEAD EAST",0
52,thefourthperiod.com,WHERE MIGHT PACIORETTY END UP?,0
53,thefourthperiod.com,LAMORIELLO TAKING OVER ISLANDERS; IS PRESIDENT OF HOCKEY OPS,0
54,thefourthperiod.com,DOUGHTY CONTRACT TALKS “GOING WELL”,0
55,thefourthperiod.com,ISLANDERS BRING BACK MARTIN FROM TORONTO,0
56,thefourthperiod.com,"KOVALCHUK BECOMES UFA, FREE TO TALK TO TEAMS",0
57,thefourthperiod.com,PLEKANEC MAY RETURN TO MONTREAL,0
58,thefourthperiod.com,STATUS QUO ON MAPLE LEAFS’ POSSIBLE UFAs,0
59,thefourthperiod.com,"SENS ACTIVE, KARLSSON DRAWING ATTENTION",0
60,thefourthperiod.com,"FLAMES, CANADIENS TALKING TRADE?",0
61,thefourthperiod.com,RANGERS READY TO START SELLING,0
62,thefourthperiod.com,FLYERS MAY TRY TO TRADE NEUVIRTH,0
63,thefourthperiod.com,HABS HAVE MULTIPLE PIECES AVAILABLE,0
64,thefourthperiod.com,HOSSA’S PLAYING CAREER HAS ENDED,1
65,thefourthperiod.com,SIMMONDS FUTURE UP IN THE AIR?,0
66,thefourthperiod.com,OILERS GM VERY ACTIVE IN TRADE MARKET,0
67,thefourthperiod.com,PENGUINS SHOWING INTEREST IN PAGEAU?,0
68,thefourthperiod.com,TORONTO MAKING CALLS ON LETESTU,0
69,thefourthperiod.com,WINGS COULD EAT SOME OF GREEN'S SALARY,0
70,thefourthperiod.com,"MAPLE LEAFS SIGN TAVARES TO 7-YEAR, $77 MILLION DEAL",0
71,thefourthperiod.com,"CANES CONTINUE TO DISCUSS FAULK, SKINNER DEALS",0
72,thefourthperiod.com,"THORNTON, KANE FUTURES IN SAN JOSE IN LIMBO",0
73,thefourthperiod.com,"FLAMES, SABRES ENGAGED IN TRADE DISCUSSIONS?",0
74,thefourthperiod.com,"HURRICANES WANT TO ADDRESS GOALTENDING, OTHER AREAS OF TEAM",0
75,thefourthperiod.com,"HARTNELL, EMELIN WON’T RETURN TO NASHVILLE",0
76,thefourthperiod.com,SABRES COULD MOVE O’REILLY THIS OFF-SEASON,0
77,thefourthperiod.com,RED WINGS RE-SIGN GREEN TO TWO-YEAR DEAL,0
78,thefourthperiod.com,PANTHERS INTERESTED IN HOFFMAN,0
79,thefourthperiod.com,BLUES LOOKING FOR TOP-SIX FORWARD,0
80,thefourthperiod.com,KANE TRADE TALKS EXPECTED TO PICK UP STEAM,0
81,thefourthperiod.com,JVR KNOWS TIME LIKELY UP IN TORONTO,0
82,thefourthperiod.com,WILL THE CANADIENS MOVE PLEKANEC?,0
83,thefourthperiod.com,AVS MAY LOOK TO ADD IF TREND CONTINUES,0
84,thefourthperiod.com,"EKMAN-LARSSON INTEREST RISING, COYOTES KEEPING CARDS CLOSE TO VEST",0
85,thefourthperiod.com,DEMERS COULD BE TRADED BY DEADLINE,0
86,thefourthperiod.com,CANUCKS EXPLORING GUDBRANSON TRADE OPTIONS,0
87,thefourthperiod.com,HABS LOOKING TO ADD AS TIDE SHIFTS,0
88,thefourthperiod.com,GUNNARSSON COULD BECOME TRADE BAIT FOR BLUES,0
89,thefourthperiod.com,KINGS STILL WILLING TO TRADE GABORIK,0
90,thefourthperiod.com,GREEN WILL BE ATTRACTIVE ASSET TO MANY CLUBS,0
91,thefourthperiod.com,KINGS ACQUIRE SUBBAN FROM CANUCKS FOR DOWD,0
92,thefourthperiod.com,PACIORETTY NOT FOCUSING ON TRADE TALK,0
93,thefourthperiod.com,JETS SIGN WHEELER TO 5-YEAR EXTENSION,0
94,thefourthperiod.com,PENGUINS LOOKING FOR DEPTH UP FRONT,0
95,thefourthperiod.com,SABRES ACQUIRE WILSON FROM RED WINGS,0
96,thefourthperiod.com,NEW HURRICANES OWNER COULD MAKEOVER FRANCHISE,0
97,thefourthperiod.com,JAGR WANTS TO HEAL BEFORE DETERMINING FUTURE,0
98,thefourthperiod.com,"BLACKHAWKS SETTING SIGHTS ON 2018, AND BEYOND",0
99,thefourthperiod.com,"HEY BOSTON, THE BRUINS ARE FUN AGAIN",0
